,ru_old_orth,alt_name_old_orth,ru_old_featuretype,ru_prov,ru_uezd,description,page,SOURCE,html_text,ru_new_orth,prov_modern_sp,uezd_modern_sp,prov_stem,uezd_stem,admin_hierarchy,admin1_partofID,admin2_partofID,partof_id
322,Константиновское,,село,Тверскаго Намѣстничества,Кашинскомъ уѣздѣ,"КОНСТАНТИНОВСКОЕ , село Тверскаго Намѣстничества въ Кашинскомъ уѣздѣ. Здѣсь бываетъ ярмарка Августа 15 дня; товары привозятъ изъ уѣзду холсты льняные разные, да изъ городовъ Ярославля, Переславля Залѣскаго и Углича куп* цы пріѣзжаютъ съ мѣлочными всякими небогатыми товарами.",59,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=58,"КОНСТАНТИНОВСКОЕ , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тверскаго Намѣстничества въ Кашинскомъ уѣздѣ. Здѣсь бываетъ ярмарка Августа 15 дня; товары привозятъ изъ уѣзду холсты льняные разные, да изъ городовъ Ярославля, Переславля Залѣскаго и Углича куп* цы пріѣзжаютъ съ мѣлочными всякими небогатыми товарами.</span>",Константиновское,Тверского Наместничества,Кашинском уезде,тверск,кашинск,тверск|кашинск,33.0,109.0,109.0
323,Коприно,,село,Ярославскаго Намѣстничества,Ярославскаго уѣздѣ,"КОПРИНО, село Ярославскаго Намѣстничества и уѣзду. Здѣсь бываетъ годовая Сергіевская ярмарка Сентября въ 25 день; продаютъ на оной крестьяне масло коровье и прочіе товары.",59,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=58,"КОПРИНО, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Ярославскаго Намѣстничества и уѣзду. Здѣсь бываетъ годовая Сергіевская ярмарка Сентября въ 25 день; продаютъ на оной крестьяне масло коровье и прочіе товары.</span>",Коприно,Ярославского Наместничества,Ярославского уезде,ярославск,ярославск,ярославск|ярославск,39.0,80.0,80.0
324,Коренная,,пустыня,Курскаго Намѣстничества,Курскаго уѣздѣ,"КОРЕННАЯ, пустыня Курскаго Намѣстничества и уѣзду, въ 27 верстахъ отъ города. При ней бываетъ одиножды въ годъ ярмарка , начинающаяся за недѣлю предъ девятою пятницею по Пасхѣ, и продолжающаяся по томъ чрезъ нѣсколько дней послѣ оной. На оную съѣзжаются нетокмо изо всѣхъ городовъ Россійскіе, но и иностранные купцы, и превеликое множество всякихъ Россійскихъ, Нѣмецкихъ и Азіатскихъ товаровъ привозятъ; также и лошадьми великой торгъ производится.",59,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=58,"КОРЕННАЯ, </span><span class=""font0"" style=""font-style:italic;"">пустыня</span><span class=""font0""> Курскаго Намѣстничества и уѣзду, въ 27 верстахъ отъ города. При ней бываетъ одиножды въ годъ ярмарка , начинающаяся за недѣлю предъ девятою пятницею по Пасхѣ, и продолжающаяся по томъ чрезъ нѣсколько дней послѣ оной. На оную съѣзжаются нетокмо изо всѣхъ городовъ Россійскіе, но и иностранные купцы, и превеликое множество всякихъ Россійскихъ, Нѣмецкихъ и Азіатскихъ товаровъ привозятъ; также и лошадьми великой торгъ производится.</span>",Коренная,Курского Наместничества,Курского уезде,курск,курск,курск|курск,15.0,56.0,56.0
325,Коровай,,село,Кіевскаго Намѣстничества,Лубенскомъ уѣздѣ,"КОРОВАЙ, село Кіевскаго Намѣстничества въ Лубенскомъ уѣздѣ. Въ ономъ бываетъ ярмарка послѣ Свѣтлаго Воскресенія о десятой пятницѣ.",59,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=58,"КОРОВАЙ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Кіевскаго Намѣстничества въ Лубенскомъ уѣздѣ. Въ ономъ бываетъ ярмарка послѣ Свѣтлаго Воскресенія о десятой пятницѣ.</span>",Коровай,Киевского Наместничества,Лубенском уезде,киевск,лубенск,киевск|лубенск,13.0,122.0,122.0
326,Коропъ,,городъ,Новогородскаго - Сѣверскаго Намѣстничества,not_in_text,"КОРОПЪ, городъ Новогородскаго - Сѣверскаго Намѣстничества. Здѣсь бываютъ въ году три ярмарки: первая въ недѣлю Мытаря и Фарисея , вторая о Сошествіи Святаго Духа, третія Сентября 20 дня; на оныя ярмарки пріѣзжаютъ Великороссійскіе и Малороссійскіе купцы съ разными мѣлочными товарами,",59,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=58,"КОРОПЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Новогородскаго - Сѣверскаго Намѣстничества. Здѣсь бываютъ въ году три ярмарки: первая въ недѣлю Мытаря и Фарисея , вторая о Сошествіи Святаго Духа, третія Сентября 20 дня; на оныя ярмарки пріѣзжаютъ Великороссійскіе и Малороссійскіе купцы съ разными мѣлочными товарами,</span>",Короп,Новогородского - Северского Наместничества,not_иn_text,новогород - северск,нот_ин_теxт,новогород - северск,19.0,,19.0
327,Коротоякъ,,городъ,Воронежскаго Намѣстничества,not_in_text,"КОРОТОЯКЪ, городъ Воронежскаго Намѣстничества. Въ семъ городѣ бываетъ въ году одна ярмарка Іюля 8 числа, въ день Казанскія Богородицы; привозятъ на оную малое чи-сло шелковыхъ и бумажныхъ товаровъ, а болѣе крестьянское издѣлье.",59,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=58,"КОРОТОЯКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Воронежскаго Намѣстничества. Въ семъ городѣ бываетъ въ году одна ярмарка Іюля 8 числа, въ день Казанскія Богородицы; привозятъ на оную малое чи-</span>сло шелковыхъ и бумажныхъ товаровъ, а болѣе крестьянское издѣлье.",Коротояк,Воронежского Наместничества,not_иn_text,воронежск,нот_ин_теxт,воронежск,5.0,,5.0
328,Корсунь,,городъ,Синбирскаго Намѣстничества,not_in_text,"КОРСУНЬ, городъ Синбирскаго Намѣстничества. Здѣсь бываетъ годовая ярмарка, называемая Троицкая; начинается со вторника послѣдней недѣли мясоѣда, и продолжается до понедѣльника первой недѣли Петрова поста. Пріѣзжаютъ на оную изъ разныхъ Росссійскихъ городовъ купцы и Армяне, торгуютъ привозными разными шелковыми, бумажными и прочими товарами , и пригоняютъ разныхъ чиновъ люди и крестьяне знатное число лошадей Калмыцкихъ и Рускихъ, и отъ издѣлья деревенскаго крестьянскаго тамошнихъ Корсунскихъ и прочихъ обывателей.",60,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=59,"КОРСУНЬ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Синбирскаго Намѣстничества. Здѣсь бываетъ годовая ярмарка, называемая Троицкая; начинается со вторника послѣдней недѣли мясоѣда</span><span class=""font0"" style=""font-style:italic;"">,</span><span class=""font0""> и продолжается до понедѣльника первой недѣли Петрова поста. Пріѣзжаютъ на оную изъ разныхъ Росссійскихъ городовъ купцы и Армяне, торгуютъ привозными разными шелковыми, бумажными и прочими товарами , и пригоняютъ разныхъ чиновъ люди и крестьяне знатное число лошадей Калмыцкихъ и Рускихъ</span><span class=""font0"" style=""font-style:italic;"">,</span><span class=""font0""> и отъ издѣлья деревенскаго крестьянскаго тамошнихъ Корсунскихъ и прочихъ обывателей.</span>",Корсунь,Синбирского Наместничества,not_иn_text,синбирск,нот_ин_теxт,синбирск,30.0,,30.0
329,Кострома,,главный городъ,Кострома Намѣстничества,not_in_text,"КОСТРОМА , главный городъ Намѣстничества сего имени. Здѣсь бываютъ повсягодно въ девятую и въ десятую недѣли по Пасхѣ ярмарки, и въ каждой недѣлѣ торговыхъ два дни, въ середу и пятокъ; пріѣзжаетъ на оныя по боль-шей части крестьянство ; привозятъ изъ окрестныхъ мѣстъ холстъ , пряжу , хлѣбъ и прочіе крестьянскіе товары.",60,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=59,"КОСТРОМА , </span><span class=""font0"" style=""font-style:italic;"">главный городъ</span><span class=""font0""> Намѣстничества сего имени. Здѣсь бываютъ повсягодно въ девятую и въ десятую недѣли по Пасхѣ ярмарки, и въ каждой недѣлѣ торговыхъ два дни, въ середу и пятокъ; пріѣзжаетъ на оныя по боль-шей части крестьянство ; привозятъ изъ окрестныхъ мѣстъ холстъ , пряжу , хлѣбъ и прочіе крестьянскіе товары.</span>",Кострома,Кострома Наместничества,not_иn_text,кострома,нот_ин_теxт,кострома,14.0,,14.0
330,Костюковичи,,мѣстечко,Могилевскаго Намѣстничества,Климовицкомъ уѣздѣ,"КОСТЮКОВИЧИ, мѣстечко Могилевскаго Намѣстничества въ Климовицкомъ уѣздѣ. Здѣсь бываютъ двѣ ярмарки въ году.",60,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=59,"КОСТЮКОВИЧИ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Могилевскаго Намѣстничества въ Климовицкомъ уѣздѣ. Здѣсь бываютъ двѣ ярмарки въ году.</span>",Костюковичи,Могилевского Наместничества,Климовицком уезде,могилевск,климовицк,могилевск|климовицк,16.0,114.0,114.0
331,Котельва,,слобода,Харьковскаго Намѣстничества,Ахтырки,"КОТЕЛЬВА , слобода Харьковскаго Намѣстничества въ уѣздѣ города Ахтырки. Здѣсь бываютъ четыре ярмарки : первая Генваря 1, вторая Марша 25, третія о Тройцынѣ днѣ, четвертая Сентября 8. Купцы пріѣзжаютъ изъ разныхъ Россійскихъ городовъ , привозятъ парчи, шелковые товары, позументы , сѣтки , серебро въ посудѣ и прочее; торгуютъ также скотомъ и лошадьми.",60,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=59,"КОТЕЛЬВА , </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Харьковскаго Намѣстничества въ уѣздѣ города Ахтырки. Здѣсь бываютъ четыре ярмарки : первая Генваря 1, вторая Марша 25, третія о Тройцынѣ днѣ, четвертая Сентября 8. Купцы пріѣзжаютъ изъ разныхъ Россійскихъ городовъ , привозятъ парчи, шелковые товары, позументы , сѣтки , серебро въ посудѣ и прочее; торгуютъ также скотомъ и лошадьми.</span>",Котельва,Харьковского Наместничества,Ахтырки,харьковск,ахтырк,харьковск|ахтырк,37.0,84.0,84.0
332,Котельничь,,городъ,Вятскаго Намѣстничества,not_in_text,"КОТЕЛЬНИЧЬ, городъ Вятскаго Намѣстничества. Въ семъ городѣ бываетъ одна въ году ярмарка.",60,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=59,"КОТЕЛЬНИЧЬ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Вятскаго Намѣстничества. Въ семъ городѣ бываетъ одна въ году ярмарка.</span>",Котельничь,Вятского Наместничества,not_иn_text,вятск,нот_ин_теxт,вятск,7.0,,7.0
333,Кочелаево,,село,Пензенскаго Намѣстничества,Наровчатовскомъ уѣздѣ,"КОЧЕЛАЕВО , село Пензенскаго Намѣстничества въ Наровчатовскомъ уѣздѣ. Здѣсь бываетъ въ году одна ярмарка въ Іюнѣ мѣсяцѣ въ десятую пятницу въ разныхъ числахъ , но по большей части на оной бываютъ крестьяне.",60,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=59,"КОЧЕЛАЕВО , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Пензенскаго Намѣстничества въ Наровчатовскомъ уѣздѣ. Здѣсь бываетъ въ году одна ярмарка въ Іюнѣ мѣсяцѣ въ десятую пятницу въ разныхъ числахъ , но по большей части на оной бываютъ крестьяне.</span>",Кочелаево,Пензенского Наместничества,Наровчатовском уезде,пензенск,наровчатовск,пензенск|наровчатовск,22.0,129.0,129.0
334,Кошира,,городъ,Тульскаго Намѣстничества,not_in_text,"КОШИРА , городъ Тульскаго Намѣстничества. Здѣсь бываетъ годовая ярмарка въ день Вознесенія Господня въ Маіѣ мѣсяцѣ , но торгуютъ мѣдочными товарами.",61,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=60,"КОШИРА , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Тульскаго Намѣстничества. Здѣсь бываетъ годовая ярмарка въ день Вознесенія Господня въ Маіѣ мѣсяцѣ , но торгуютъ мѣдочными товарами.</span>",Кошира,Тульского Наместничества,not_иn_text,тульск,нот_ин_теxт,тульск,35.0,,35.0
335,Крапивна,Кропивна,городъ,Тульскаго Намѣстничества,not_in_text,"КРАПИВНА , или КРОПИВНА , городъ того же Намѣстничества. Въ самомъ городѣ бываютъ двѣ годовыя ярмарки: первая въ день Сошествія Святаго Духа, вторая Іюля 1 дня; а въ уѣздѣ онаго одна; обыкновенныхъ торговъ въ городѣ въ каждой недѣлѣ по два.",61,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=60,"КРАПИВНА , или КРОПИВНА , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> того же Намѣстничества. Въ самомъ городѣ бываютъ двѣ годовыя ярмарки: первая въ день Сошествія Святаго Духа, вторая Іюля 1 дня; а въ уѣздѣ онаго одна; обыкновенныхъ торговъ въ городѣ въ каждой недѣлѣ по два.</span>",Крапивна,Тульского Наместничества,not_иn_text,тульск,нот_ин_теxт,тульск,35.0,,35.0
336,Крапивна,Кропивна,мѣстечко,Кіевскаго Намѣстничества,Переяславскомъ уѣздѣ,"КРАПИВНА, или КРОПИВНА , мѣстечко Кіевскаго Намѣстничества въ Переяславскомъ уѣздѣ. Здѣсь бываетъ въ году двѣ ярмарки: первая въ день Пророка Иліи , вторая въ день Покрова Богородицы, кромѣ обыкновенныхъ торговъ. Купцы пріѣзжаютъ на оныя изъ близъ лежащихъ городовъ съ красными крамными и прочими товарами , съ стеклянною и деревянною посудою , съ мѣлкою изъ Донскихъ станицъ рыбою; жители продаютъ рогатой скотъ, дашадей, хлѣбъ, смолу, горячее вино и прочее; привозятъ также сюда для продажи жителямъ Крымскую соль.",61,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=60,"КРАПИВНА, или КРОПИВНА , </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Кіевскаго Намѣстничества въ Переяславскомъ уѣздѣ. Здѣсь бываетъ въ году двѣ ярмарки: первая въ день Пророка Иліи , вторая въ день Покрова Богородицы, кромѣ обыкновенныхъ торговъ. Купцы пріѣзжаютъ на оныя изъ близъ лежащихъ городовъ съ красными крамными и прочими товарами , съ стеклянною и деревянною посудою , съ мѣлкою изъ Донскихъ станицъ рыбою; жители продаютъ рогатой скотъ, дашадей, хлѣбъ, смолу, горячее вино и прочее; привозятъ также сюда для продажи жителямъ Крымскую соль.</span>",Крапивна,Киевского Наместничества,Переяславском уезде,киевск,переяславск,киевск|переяславск,13.0,135.0,135.0
337,Красноборскъ,,городъ,Вологодскаго Намѣстничества,not_in_text,"КРАСНОБОРСКЪ , городъ Вологодскаго Намѣстничества. ВЪ семъ городѣ бываетъ небольшая ярмарка ; пріѣзжая пъ купцы изъ разныхъ Россійскихъ городовъ съ мълочными товарами.",61,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=60,"КРАСНОБОРСКЪ , </span><span class=""font0"" style=""font-style:italic;"">городъ </span><span class=""font0"">Вологодскаго Намѣстничества. ВЪ семъ городѣ бываетъ небольшая ярмарка ; пріѣзжая пъ купцы изъ разныхъ Россійскихъ городовъ съ мълочными товарами.</span>",Красноборск,Вологодского Наместничества,not_иn_text,вологодск,нот_ин_теxт,вологодск,4.0,,4.0
338,Красногорская,,пустыня,Тамбовскаго Намѣстничества,Лебедяни,"КРАСНОГОРСКАЯ, пустыня Тамбовскаго Намѣстничества въ уѣздѣ города Лебедяни. Здѣсь при дѣвичьемъ Пресбраженскомъ монастырѣ бываетъ одна годовая ярмарка.",61,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=60,"КРАСНОГОРСКАЯ, </span><span class=""font0"" style=""font-style:italic;"">пустыня</span><span class=""font0""> Тамбовскаго Намѣстничества въ уѣздѣ города Лебедяни. Здѣсь при дѣвичьемъ Пресбраженскомъ монастырѣ бываетъ одна годовая ярмарка.</span>",Красногорская,Тамбовского Наместничества,Лебедяни,тамбовск,лебедян,тамбовск|лебедян,32.0,120.0,120.0
339,Красное,,село,Орловскаго Намѣстничества,Ливенскомъ уѣздѣ,"КРАСНОЕ , село Орловскаго Намѣстничества въ Ливенскомъ уѣздѣ. Въ ономъ бываетъ въ году ярмарка 30 Іюля. Сюда пріѣзжаютъ окрестныхъ городовъ купцы и разночинцы съ шелковыми товарами и другими , но по большей части мѣмѣлочными , также и крестьяне со своими издѣльями.",61,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=60,"КРАСНОЕ , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Орловскаго Намѣстничества въ Ливенскомъ уѣздѣ. Въ ономъ бываетъ въ году ярмарка 30 Іюля. Сюда пріѣзжаютъ окрестныхъ городовъ купцы и разночинцы съ шелковыми товарами и другими </span><span class=""font0"" style=""font-style:italic;"">,</span><span class=""font0""> но по большей части мѣмѣлочными , также и крестьяне со своими издѣльями.</span>",Красное,Орловского Наместничества,Ливенском уезде,орловск,ливенск,орловск|ливенск,21.0,121.0,121.0
340,Красное,,село,Костромскаго Намѣстничества,Костромскаго уѣздѣ,"КРАСНОЕ , село Костромскаго Намѣстничества и уѣзду. Здѣсь бываетъ годовая ярмарка въ ?Лрейцынъ день, для чего построены и лавки.",61,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=60,"КРАСНОЕ , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Костромскаго Намѣстничества и уѣзду. Здѣсь бываетъ годовая ярмарка въ ?Лрейцынъ день, для чего построены и лавки.</span>",Красное,Костромского Наместничества,Костромского уезде,кострома,костромск,кострома|костромск,14.0,55.0,55.0
341,Красной Колядинъ,,мѣстечко,Черниговскаго Намѣстничества,Прилуцкомъ уѣздѣ,"КРАСНОЙ КОЛЯДИНЪ, мѣстечко Черниговскаго Намѣстничествавъ Прилуцкомъ уѣздѣ. Въ ономъ бываетъ въ году три ярмарки: первая Сентября 14, въ день Воздвиженія честнаго Креста, вторая въ день Сошествія Святаго Духа , третія Декабря 6, въ день Святителя Николая. На оныхъ торгуютъ окольные жители своими произрастѣніями , какъ -то хлѣбомъ, разнымъ скотомъ, съѣстными припасами , деревянною посудою и прочею мѣлочью.",61,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=60,"КРАСНОЙ КОЛЯДИНЪ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Черниговскаго Намѣстничества</span>въ Прилуцкомъ уѣздѣ. Въ ономъ бываетъ въ году три ярмарки: первая Сентября 14, въ день Воздвиженія честнаго Креста, вторая въ день Сошествія Святаго Духа , третія Декабря 6, въ день Святителя Николая. На оныхъ торгуютъ окольные жители своими произрастѣніями , какъ -то хлѣбомъ, разнымъ скотомъ, съѣстными припасами , деревянною посудою и прочею мѣлочью.",Красной Колядин,Черниговского Наместничества,Прилуцком уезде,черниговск,прилуцк,черниговск|прилуцк,38.0,140.0,140.0
342,Краснокаменской,,шанцъ,Екатеринославскаго Намѣстничества,not_in_text,"КРАСНОКАМЕНСКОЙ, шанцъ Екатеринославскаго Намѣстничества. Въ ономъ бываетъ въ году три ярмарки.",62,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=61,"КРАСНОКАМЕНСКОЙ, </span><span class=""font0"" style=""font-style:italic;"">шанцъ</span><span class=""font0""> Екатеринославскаго Намѣстничества. Въ ономъ бываетъ въ году три ярмарки.</span>",Краснокаменской,Екатеринославского Наместничества,not_иn_text,екатеринославск,нот_ин_теxт,екатеринославск,8.0,,8.0
343,Краснокутскъ,,городъ,Харьковскаго Намѣстничества,not_in_text,"КРАСНОКУТСКЪ, городъ Харьковскаго Намѣстничества. Здѣсь бываетъ въ году четыре ярмарки: первая въ постъ о Крестопоклонной недѣлѣ , вторая Апрѣля 23, третія Іюня 29, четвертая Ноября 21; пріѣзжаютъ на оныя купцы изъ разныхъ Россійскихъ городовъ; привозятъ шелковые и прочіе товары , позументы, серебро въ посудѣ и прочее; торгуютъ тутъ же скотомъ и лошадьми.",62,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=61,"КРАСНОКУТСКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ </span><span class=""font0"">Харьковскаго Намѣстничества. Здѣсь бываетъ въ году четыре ярмарки: первая въ постъ о Крестопоклонной недѣлѣ , вторая Апрѣля 23, третія Іюня 29, четвертая Ноября 21; пріѣзжаютъ на оныя купцы изъ разныхъ Россійскихъ городовъ; привозятъ шелковые и прочіе товары , позументы, серебро въ посудѣ и прочее; торгуютъ тутъ же скотомъ и лошадьми.</span>",Краснокутск,Харьковского Наместничества,not_иn_text,харьковск,нот_ин_теxт,харьковск,37.0,,37.0
344,Краснополь,,мѣстечко,Могилевскаго Намѣстничества,Чериковскомъ уѣздѣ,"КРАСНОПОЛЬ , мѣстечко Могилевскаго Намѣстничества въ Чериковскомъ уѣздѣ. Здѣсь бываютъ четыре ярмарки въ годъ.",62,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=61,"КРАСНОПОЛЬ , </span><span class=""font0"" style=""font-style:italic;"">мѣстечко </span><span class=""font0"">Могилевскаго Намѣстничества въ Чериковскомъ уѣздѣ. Здѣсь бываютъ четыре ярмарки въ годъ.</span>",Краснополь,Могилевского Наместничества,Чериковском уезде,могилевск,чериковск,могилевск|чериковск,16.0,153.0,153.0
345,Краснополье,,слобода,Харьковскаго Намѣстничества,Мирополья,"КРАСНОПОЛЬЕ , слобода Харьковскаго Намѣстничества въ уѣздѣ города Мирополья. Здѣсь бываютъ ярмарки , первая Маія 9, вторая Августа 6, третія Ноября 8 ; пріѣзжаютъ на оныя купцы изъ близъ лежащихъ городовъ съ мѣлочными товарами , а покупаютъ скотъ, лошадей и прочее.",62,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=61,"КРАСНОПОЛЬЕ , </span><span class=""font0"" style=""font-style:italic;"">слобода </span><span class=""font0"">Харьковскаго Намѣстничества въ уѣздѣ города Мирополья. Здѣсь бываютъ ярмарки , первая Маія 9, вторая Августа 6, третія Ноября 8 ; пріѣзжаютъ на оныя купцы изъ близъ лежащихъ городовъ съ мѣлочными товарами , а покупаютъ скотъ, лошадей и прочее.</span>",Краснополье,Харьковского Наместничества,Мирополья,харьковск,миропол,харьковск|миропол,37.0,126.0,126.0
346,Краснослободскъ,,городъ,Пензенскаго Намѣстничества,not_in_text,"КРАСНОСЛОБОДСКЪ , городъ Пензенскаго Намѣстничества. Въ ономъ бываетъ одна въ году ярмарка на осьмой недѣлѣ по Пасхѣ въ пятокъ. Купцы пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми, бумажными , москотильными и прочими разными въ небольшемъ числѣ товарами ; большеюжь частію пріѣзжаютъ крестьяне съ своими припасами.",62,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=61,"КРАСНОСЛОБОДСКЪ , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Пензенскаго Намѣстничества. Въ ономъ бываетъ одна въ году ярмарка на осьмой недѣлѣ по Пасхѣ въ пятокъ. Купцы пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми, бумажными , москотильными и прочими разными въ небольшемъ числѣ товарами ; большеюжь частію пріѣзжаютъ крестьяне съ своими припасами.</span>",Краснослободск,Пензенского Наместничества,not_иn_text,пензенск,нот_ин_теxт,пензенск,22.0,,22.0
347,Кременной,,шанцъ,Екатеринославскаго Намѣстничества,not_in_text,"КРЕМЕННОЙ , шанцъ Екатеринославскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарки.",62,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=61,"КРЕМЕННОЙ , </span><span class=""font0"" style=""font-style:italic;"">шанцъ</span><span class=""font0""> Екатеринославскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарки.</span>",Кременной,Екатеринославского Наместничества,not_иn_text,екатеринославск,нот_ин_теxт,екатеринославск,8.0,,8.0
348,Кременчугъ,,городъ,Екатеринославскаго Намѣстничества,not_in_text,"КРЕМЕНЧУГЪ, городъ того же Намѣстничества. Въ ономъ сверхъ обыкновенныхъ торговъ бываетъ въ году три ярмарки, продолжающіяся по три же дни.",63,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=62,"КРЕМЕНЧУГЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> того же Намѣстничества. Въ ономъ сверхъ обыкновенныхъ торговъ бываетъ въ году три ярмарки, продолжающіяся по три же дни.</span>",Кременчуг,Екатеринославского Наместничества,not_иn_text,екатеринославск,нот_ин_теxт,екатеринославск,8.0,,8.0
349,Креславль,,мѣстечко,Полотскаго Намѣстничества,Динабурга,"КРЕСЛАВЛЬ, мѣстечко Полотскаго Намѣстничества въ уѣздѣ города Динабурга. Въ семъ мѣстѣ бываютъ въ году три ярмарки ; торгуютъ Рижскаго Дворца крестьяне разными мѣлочными товарами , виномъ и пивомъ.",63,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=62,"КРЕСЛАВЛЬ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Полотскаго Намѣстничества въ уѣздѣ города Динабурга. Въ семъ мѣстѣ бываютъ въ году три ярмарки ; торгуютъ Рижскаго Дворца крестьяне разными мѣлочными товарами , виномъ и пивомъ.</span>",Креславль,Полотского Наместничества,Динабурга,полотск,динабург,полотск|динабург,24.0,99.0,99.0
350,Крестцы,,городъ,Новогородскаго Намѣстничества,not_in_text,"КРЕСТЦЫ, городъ Новогородскаго Намѣстничества. Бываетъ здѣсь годовой съѣздъ для торговли Сентября 15 дня.",63,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=62,"КРЕСТЦЫ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Новогородскаго Намѣстничества. Бываетъ здѣсь годовой съѣздъ для торговли Сентября 15 дня.</span>",Крестцы,Новогородского Наместничества,not_иn_text,новгородск,нот_ин_теxт,новгородск,18.0,,18.0
351,Кривонаволоцкая,,деревня,Вологодскаго Намѣстничества,Яренскомъ уѣздѣ,"КРИВОНАВОЛОЦКАЯ, деревня Вологодскаго Намѣстничества въ Яренскомъ уѣздѣ. Здѣсь бываетъ ярмарка Генваря съ 6 по 13 число; на оной по большей части закупаютъ промышленную крестьянами рыбу.",63,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=62,"КРИВОНАВОЛОЦКАЯ, </span><span class=""font0"" style=""font-style:italic;"">деревня</span><span class=""font0""> Вологодскаго Намѣстничества въ Яренскомъ уѣздѣ. Здѣсь бываетъ ярмарка Генваря съ 6 по 13 число; на оной по большей части закупаютъ промышленную крестьянами рыбу.</span>",Кривонаволоцкая,Вологодского Наместничества,Яренском уезде,вологодск,яренск,вологодск|яренск,4.0,158.0,158.0
