,wkt_geom,OBJECTID_1,Post,Category,Group,Placename,REGION,SHEET,UnitID,Status,Uz_name,Prov_name,XCOORD,YCOORD,Unnamed: 14,text,ru_uezd,_type,page,name,alt_name,ru_prov,source_url,html_text,name_modern_sp,prov_modern_sp,uezd_modern_sp,prov_stem,uezd_stem,admin_hierarchy,partof_id,admin1_partof,admin2_partof,lc_translit,translit_prov_stem,settle_prov_stem
733,POINT(39.7220639216868534 57.85294908098532574),3969,1,registered (pripisnoj) town,urban,Borisoglebsk,7,Atlas 032,446,Regular,Romanov (Borisoglebsk),Iaroslavskaia,39.722064,57.852949,,"БОРИСОГЛѢБСКЪ, городъ Ярославскаго Намѣстничества. Здѣсь ярмарки бываютъ на день Живоначальныя Троицы и на день Іоанна Богослова ; а недѣльные торжки въ субботніе дни. Въ оные ярмарочные и субботніе дни съ товарами купцы не пріѣзжаютъ, а съѣзжаются по большей части живущіе въ близости оной слободы крестьяне и прочіе разночинцы, и привозятъ на продажу хлѣбъ, столовые запасы и дѣланную ими деревянную и прочую посуду.",not_in_text,городъ,20,Борисоглѣбскъ,,Ярославскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=19,"БОРИСОГЛѢБСКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ </span><span class=""font0"">Ярославскаго Намѣстничества. Здѣсь ярмарки бываютъ на день Живоначальныя Троицы и на день Іоанна Богослова ; а недѣльные торжки въ субботніе дни. Въ оные ярмарочные и субботніе дни съ товарами купцы не пріѣзжаютъ, а съѣзжаются по большей части живущіе въ близости оной слободы крестьяне и прочіе разночинцы, и привозятъ на продажу хлѣбъ, столовые запасы и дѣланную ими деревянную и прочую посуду.</span>",Борисоглебск,Ярославского Наместничества,not_иn_text,ярославск,нот_ин_теxт,ярославск,39.0,39.0,,Borisoglebsk,iaroslavsk,iaroslavsk
735,POINT(39.73349034842099314 57.87974071272898868),4055,1,uezd town,urban,Romanov,7,Atlas 032,446,Regular,Romanov (Borisoglebsk),Iaroslavskaia,39.73349,57.879741,,"РОМАНОВЪ, городъ того же Намѣстничества. Здѣсь бываютъ двѣ ярмарки : первая въ день Живоначальныя Троицы , вторая въ день Іоанна Богослова, Сентября 26 дня; купцы пріѣзжаютъ изъ Ярославля съ мѣлочными товарами для одного крестьянства.",not_in_text,городъ,96,Романовъ,,Ярославскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=95,"РОМАНОВЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> того же Намѣстничества. Здѣсь бываютъ двѣ ярмарки : первая въ день Живоначальныя Троицы , вторая въ день Іоанна Богослова, Сентября 26 дня; купцы пріѣзжаютъ изъ Ярославля съ мѣлочными товарами для одного крестьянства.</span>",Романов,Ярославского Наместничества,not_иn_text,ярославск,нот_ин_теxт,ярославск,39.0,39.0,,Romanov,iaroslavsk,iaroslavsk
738,POINT(40.8471029122669762 58.3056306329421048),4159,1,uezd town,urban,Liubim,9,Atlas 032,448,Regular,Liubim,Iaroslavskaia,40.847103,58.305631000000005,,"ЛЮБИМЪ , городъ Ярославскаго Намѣстничества. Въ немъ бываетъ въ годъ двѣ ярмарки: первая въ Тройцынъ день, вторая Декабря 6; продолжав щіяся только по одному дню. На оныя съѣзжаются изъ ближнихъ городовъ купцы съ шел-ювыми и прочими суровскими поварами ; а изъ окрестныхъ селеній крестьяне съ холстами а прочими издѣльями.",not_in_text,городъ,69,Любимъ,,Ярославскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=68,"ЛЮБИМЪ , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Ярославскаго Намѣстничества. Въ немъ бываетъ въ годъ двѣ ярмарки: первая въ Тройцынъ день, вторая Декабря 6; продолжав щіяся только по одному дню. На оныя съѣзжаются изъ ближнихъ городовъ купцы съ шел-</span>ювыми и прочими суровскими поварами ; а изъ окрестныхъ селеній крестьяне съ холстами а прочими издѣльями.",Любим,Ярославского Наместничества,not_иn_text,ярославск,нот_ин_теxт,ярославск,39.0,39.0,,Liubim,iaroslavsk,iaroslavsk
746,POINT(107.19252875597810259 50.30726121724864441),4630,0,fortress,military,Kudarinskaia,F3,Atlas 057,597,Regular,Selenginsk,Irkutskaia,107.192529,50.307261,,"КУДАРИНСКАЯ , слобода Иркутскаго Намѣстничества въ уѣздѣ города Верхнеудивска. Здѣсь бываетъ ярмарка Ноября 24 дня; торгуютъ на оной пріѣзжіе изъ Сибири купцы разными мѣлочными товарами.",Верхнеудивска,слобода,64,Кударинская,,Иркутскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=63,"КУДАРИНСКАЯ , </span><span class=""font0"" style=""font-style:italic;"">слобода </span><span class=""font0"">Иркутскаго Намѣстничества въ уѣздѣ города Верхнеудивска. Здѣсь бываетъ ярмарка Ноября 24 дня; торгуютъ на оной пріѣзжіе изъ Сибири купцы разными мѣлочными товарами.</span>",Кударинская,Иркутского Наместничества,Верхнеудивска,иркутск,верхнеудивск,иркутск|верхнеудивск,54.0,9.0,54.0,Kudarinskaia,irkutsk,irkutsk
747,POINT(104.15292621827973107 52.33176855045563514),4584,1,provincial town,urban,Irkutsk,F4,Atlas 057,598,Regular,Irkutsk,Irkutskaia,104.152926,52.331769,,"ИРКУТСКЪ, главный городъ Намѣстничества сего имени. Здѣсь бываютъ въ году двѣ ярмарки: первая съ 15 Марта по 1 Маія, вторая Ноября съ 15 Генваря по 1, въ которыя состоитъ торговля разными Россійскими и Китайскими товарами между Иркутскими и иногородными купцами.",not_in_text,главный,50,Иркутскъ,,Иркутскъ Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=49,"ИРКУТСКЪ, </span><span class=""font0"" style=""font-style:italic;"">главный</span><span class=""font0""> </span><span class=""font0"" style=""font-style:italic;"">городъ </span><span class=""font0"">Намѣстничества сего имени. Здѣсь бываютъ въ году двѣ ярмарки: первая съ 15 Марта по 1 Маія, вторая Ноября съ 15 Генваря по 1, въ которыя состоитъ торговля разными Россійскими и Китайскими товарами между Иркутскими и иногородными купцами.</span>",Иркутск,Иркутск Наместничества,not_иn_text,иркутск,нот_ин_теxт,иркутск,9.0,9.0,,Irkutsk,irkutsk,irkutsk
748,POINT(108.12250717379251341 57.75917534095076888),4658,1,uezd town,urban,Kirensk,F6,Atlas 057,600,Regular,Kirensk,Irkutskaia,108.122507,57.759175,,"КИРЕНСКЪ, городъ Иркутскаго Намѣстничества. Здѣсь бывала ежегодно лѣтнимъ временемъ ярмарка, на которую множество купцовъ для торгу съѣзжалось, но за упадкомъ здѣшнихъ жителей оставлена.",not_in_text,городъ,54,Киренскъ,,Иркутскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=53,"КИРЕНСКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Иркутскаго Намѣстничества. Здѣсь бывала ежегодно лѣтнимъ временемъ ярмарка, на которую множество купцовъ для торгу съѣзжалось, но за упадкомъ здѣшнихъ жителей оставлена.</span>",Киренск,Иркутского Наместничества,not_иn_text,иркутск,нот_ин_теxт,иркутск,9.0,9.0,,Kirensk,irkutsk,irkutsk
752,POINT(48.0361618539018238 52.48048527781064365),10310,1,uezd town,urban,Khvalynsk,1,Atlas 043,79,Regular,Khval'ynsk,Saratovskaia,48.036162,52.480484999999994,,"ХВАЛЫНСКЪ, съ 1780 году городъ Саратовскаго Намѣстничества. Здѣсь бываетъ яр-марка Іюня 28 дня , на которую по большей части съѣжается крестьянство.",not_in_text,городъ,123,Хвалынскъ,,Саратовскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=122,"ХВАЛЫНСКЪ, съ 1780 году </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Саратовскаго Намѣстничества. Здѣсь бываетъ яр-марка Іюня 28 дня , на которую по большей части съѣжается крестьянство.</span>",Хвалынск,Саратовского Наместничества,not_иn_text,саратовск,нот_ин_теxт,саратовск,29.0,29.0,,Khvalynsk,saratovsk,saratovsk
753,POINT(46.55513689234125252 53.08918553429990084),10492,1,uezd town,urban,Kuznetsk,2,Atlas 043,80,Regular,Kuznetsk,Saratovskaia,46.555137,53.089186,,"КУЗНЕЦКЪ, городъ Саратовскаго Намѣстничества. Здѣсь сверхъ еженедѣльнаго торгу бываетъ ярмарочной съѣздъ въ десятую пятницу по Пасхѣ.",not_in_text,городъ,64,Кузнецкъ,,Саратовскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=63,"КУЗНЕЦКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Саратовскаго Намѣстничества. Здѣсь сверхъ еженедѣльнаго торгу бываетъ ярмарочной съѣздъ въ десятую пятницу по Пасхѣ.</span>",Кузнецк,Саратовского Наместничества,not_иn_text,саратовск,нот_ин_теxт,саратовск,29.0,29.0,,Kuznetsk,saratovsk,saratovsk
755,POINT(46.67083789047693898 51.78249808713044899),10286,0,selo or sloboda,rural,Berezniki,3,Atlas 043,81,Regular,Volgsk,Saratovskaia,46.670838,51.782498,,"БЕРЕЗНИКИ, село въ Саратовскомъ Намѣстничествѣ и уѣздѣ. Здесь бываетъ ярмарка въ послѣднихъ числахъ Іюля; привозятъ на оную купцы разные мѣлочные шелковые товары.",Саратовскомъ уѣздѣ,село,16,Березники,,Саратовскомъ Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=15,"БЕРЕЗНИКИ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> въ Саратовскомъ Намѣстничествѣ и уѣздѣ. Здесь бываетъ ярмарка въ послѣднихъ числахъ Іюля; привозятъ на оную купцы разные мѣлочные шелковые товары.</span>",Березники,Саратовском Наместничества,Саратовском уезде,саратовск,саратовск,саратовск|саратовск,118.0,29.0,118.0,Berezniki,saratovsk,saratovsk
758,POINT(44.91027172909731036 51.86525587962401573),10471,1,uezd town,urban,Atkarsk,8,Atlas 043,86,Regular,Atkarsk,Saratovskaia,44.910272,51.865256,,"АТКАРСКЪ, городъ Саратовскаго Намѣстничества; здѣсь въ городѣ бываетъ еженедѣльной торгъ, а въ округъ онаго въ нѣкоторымъ селеніяхъ на рѣчкѣ Терсѣ и Болондѣ торж-к и, гдѣ производятся продажи , также какъ и въ другихъ сей Губерніи мѣстахъ.",not_in_text,городъ,14,Аткарскъ,,Саратовскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АТКАРСКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Саратовскаго Намѣстничества; здѣсь въ городѣ бываетъ еженедѣльной торгъ, а въ округъ онаго въ нѣкоторымъ селеніяхъ на рѣчкѣ </span><span class=""font0"" style=""font-style:italic;"">Терсѣ </span><span class=""font0"">и</span><span class=""font0"" style=""font-style:italic;""> Болондѣ</span><span class=""font0""> торж-</span>к и, гдѣ производятся продажи , также какъ и въ другихъ сей Губерніи мѣстахъ.",Аткарск,Саратовского Наместничества,not_иn_text,саратовск,нот_ин_теxт,саратовск,29.0,29.0,,Atkarsk,saratovsk,saratovsk
761,POINT(52.57815581484779699 61.91738133493562657),15349,0,village (derevnia),rural,Troitskaia,1,Atlas 049,25,Regular,Ust' Sysol'sk,Vologodskaia,52.578156,61.917381000000006,,"ТРОИЦКАЯ , треть Вологодскаго Намѣстничества. Здѣсь бываютъ ярмарки Генваря 1, 5, 6 и 18, да Марта 17 и 25 чиселъ, на которыхъ въ оной у сосѣднихъ поселянъ здѣшніе купцы покупаютъ масло коровье, сало, кожи говяжьи и бараньи, медвѣжьи, волчьи, заячьи, бѣльи, полотна, холсты, сукна сермяжныя и дичину.",not_in_text,треть,116,Троицкая,,Вологодскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=115,"ТРОИЦКАЯ , </span><span class=""font0"" style=""font-style:italic;"">треть</span><span class=""font0""> Вологодскаго Намѣстничества. Здѣсь бываютъ ярмарки Генваря 1, 5, 6 и 18, да Марта 17 и 25 чиселъ, на которыхъ въ оной у сосѣднихъ поселянъ здѣшніе купцы покупаютъ масло коровье, сало, кожи говяжьи и бараньи, медвѣжьи, волчьи, заячьи, бѣльи, полотна, холсты</span><span class=""font0"" style=""font-style:italic;"">,</span><span class=""font0""> сукна сермяжныя и дичину.</span>",Троицкая,Вологодского Наместничества,not_иn_text,вологодск,нот_ин_теxт,вологодск,4.0,4.0,,Troitskaia,vologodsk,vologodsk
775,POINT(35.75964732224047538 52.66606736159742042),8359,1,uezd town,urban,Kromy,4,Atlas 029,396,Regular,Kromy,Orlovskaia,35.759647,52.666067000000005,,"КРОМЫ, городъ Орловскаго Намѣстничества. Здѣсь бываютъ въ году двѣ ярмарки, послѣ Святыя Пасхи на десятой и одинадцатой недѣлѣ, и торговля состоитъ привозимыми ивъ городовъ купечествомъ разными шелковыми и другими мѣлкими товарами ; годевые и уѣздные жители торгу ютъ своими собственными тутошняго мѣста произрастѣнія ми и произведенными рукодѣ ліемъ вещьми, малымъ числомъ пенькою и холстомъ.",not_in_text,городъ,63,Кромы,,Орловскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=62,"КРОМЫ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Орловскаго Намѣстничества. Здѣсь бываютъ въ году двѣ ярмарки, послѣ Святыя Пасхи на десятой и одинадцатой недѣлѣ,<sub> </sub>и торговля состоитъ привозимыми ивъ городовъ купечествомъ разными шелковыми и другими мѣлкими товарами ; годевые и уѣздные жители торгу ютъ своими собственными тутошняго мѣста произрастѣнія ми и произведенными рукодѣ ліемъ вещьми, малымъ числомъ пенькою и холстомъ.</span>",Кромы,Орловского Наместничества,not_иn_text,орловск,нот_ин_теxт,орловск,21.0,21.0,,Kromy,orlovsk,orlovsk
780,POINT(28.37808665006264874 57.30339220224814056),13083,1,uezd town,urban,Ostrov,6,Atlas 012,494,Regular,Ostrov,Pskovskaia,28.378087,57.303392,,"ОСТРОВЪ, городъ Псковскаго Намѣстничества. Въ ономъ бываетъ въ году три ярмарки : первая въ Маіѣ, вторая въ Іюлѣ, третія Сентября 14; купцы пріѣзжаютъ изъ Пскова съ бумажными , шелковыми и прочими въ небольшемъ числѣ товарами.",not_in_text,городъ,85,Островъ,,Псковскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=84,"ОСТРОВЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Псковскаго Намѣстничества. Въ ономъ бываетъ въ году три ярмарки : первая въ Маіѣ, вторая въ Іюлѣ, третія Сентября 14; купцы пріѣзжаютъ изъ Пскова съ бумажными , шелковыми и прочими въ небольшемъ числѣ товарами.</span>",Остров,Псковского Наместничества,not_иn_text,псковск,нот_ин_теxт,псковск,25.0,25.0,,Ostrov,pskovsk,pskovsk
806,POINT(37.02961254231151855 53.93405870751418973),11844,1,uezd town,urban,Krapivna,6,Atlas 031,421,Regular,Krapivna,Tul'skaia,37.029613,53.934059,,"КРАПИВНА , или КРОПИВНА , городъ того же Намѣстничества. Въ самомъ городѣ бываютъ двѣ годовыя ярмарки: первая въ день Сошествія Святаго Духа, вторая Іюля 1 дня; а въ уѣздѣ онаго одна; обыкновенныхъ торговъ въ городѣ въ каждой недѣлѣ по два.",not_in_text,городъ,61,Крапивна,Кропивна,Тульскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=60,"КРАПИВНА , или КРОПИВНА , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> того же Намѣстничества. Въ самомъ городѣ бываютъ двѣ годовыя ярмарки: первая въ день Сошествія Святаго Духа, вторая Іюля 1 дня; а въ уѣздѣ онаго одна; обыкновенныхъ торговъ въ городѣ въ каждой недѣлѣ по два.</span>",Крапивна,Тульского Наместничества,not_иn_text,тульск,нот_ин_теxт,тульск,35.0,35.0,,Krapivna,tul'sk,tul'sk
819,POINT(29.86628863417865176 51.10804790814997745),7039,0,selo or sloboda,rural,Potok,12,Atlas 016,292,Regular,Radomysl',Kievskaia,29.866289,51.108048,,"ПОТОКЪ, мѣстечко Кіевскаго Намѣстничества въ Миргородскомъ уѣздѣ. Въ ономъбываютъ въ годъ двѣ ярмарки: дпа Іюня 24, а другая Октября 6 чиселъ. Торгуютъ на оныхъ пріѣзжіе изъ уѣзду жители разными мѣлочными товарами , дамъ родящимися и дѣлающимися, какъ - то хлѣбомъ, горячимъ виномъ, разнымъ скотомъ, овчинами, кожами и проч. Иногда пріѣзжаютъ и Великороссійскіе купцы съ краснымъ товаромъ.",Миргородскомъ уѣздѣ,мѣстечко,91,Потокъ,,Кіевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=90,"ПОТОКЪ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Кіевскаго Намѣстничества въ Миргородскомъ уѣздѣ. Въ ономъ</span>бываютъ въ годъ двѣ ярмарки: дпа Іюня 24, а другая Октября 6 чиселъ. Торгуютъ на оныхъ пріѣзжіе изъ уѣзду жители разными мѣлочными товарами , дамъ родящимися и дѣлающимися, какъ - то хлѣбомъ, горячимъ виномъ, разнымъ скотомъ, овчинами, кожами и проч. Иногда пріѣзжаютъ и Великороссійскіе купцы съ краснымъ товаромъ.",Поток,Киевского Наместничества,Миргородском уезде,киевск,миргородск,киевск|миргородск,91.0,13.0,91.0,Potok,kievsk,kievsk
820,POINT(31.23876386289166973 52.25649363497511501),7418,0,village (derevnia),rural,Nosovichi,1,Atlas 015,308,Regular,Novaia Belitsa,Mogilevskaia,31.238764,52.256494,,"НОСОВИЧИ, мѣстечко Могилевскаго Намѣстничества въ Бѣлицкомъ уѣздѣ. Въ немъ бываетъ въ годъ шесть ярмарокъ.",Бѣлицкомъ уѣздѣ,мѣстечко,80,Носовичи,,Могилевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=79,"НОСОВИЧИ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Могилевскаго Намѣстничества въ Бѣлицкомъ уѣздѣ. Въ немъ бываетъ въ годъ шесть ярмарокъ.</span>",Носовичи,Могилевского Наместничества,Белицком уезде,могилевск,белицк,могилевск|белицк,47.0,16.0,47.0,Nosovichi,mogilevsk,mogilevsk
821,POINT(31.01564405051440332 52.44357246963564023),7426,0,minor town (mestechko),urban,Gomel',1,Atlas 015,308,Regular,Novaia Belitsa,Mogilevskaia,31.015644,52.443571999999996,,"ГОМЕЛЬ, мѣстечко Могилевскаго Намѣстничества въ Бѣлицкомъ уѣздѣ. Здѣсь бываетъ двѣ ярмарки въ году.",Бѣлицкомъ уѣздѣ,мѣстечко,34,Гомель,,Могилевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=33,"ГОМЕЛЬ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Могилевскаго Намѣстничества въ Бѣлицкомъ уѣздѣ. Здѣсь бываетъ двѣ ярмарки въ году.</span>",Гомель,Могилевского Наместничества,Белицком уезде,могилевск,белицк,могилевск|белицк,47.0,16.0,47.0,Gomel',mogilevsk,mogilevsk
822,POINT(31.20230630154892992 52.56604782575244883),7432,0,minor town (mestechko),urban,Vetka,1,Atlas 015,308,Regular,Novaia Belitsa,Mogilevskaia,31.202306,52.566047999999995,,"ВѢТКА, мѣстечко Могилевскаго Намѣстничества въ уѣздѣ города Рогачева. Здѣсь бываетъ въ году три ярмарки.",Рогачева,мѣстечко,31,Вѣтка,,Могилевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=30,"ВѢТКА, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Могилевскаго Намѣстничества въ уѣздѣ города Рогачева. Здѣсь бываетъ въ году три ярмарки.</span>",Ветка,Могилевского Наместничества,Рогачева,могилевск,рогачев,могилевск|рогачев,113.0,16.0,113.0,Vetka,mogilevsk,mogilevsk
823,POINT(31.20230630154892992 52.56604782575244883),7432,0,minor town (mestechko),urban,Vetka,1,Atlas 015,308,Regular,Novaia Belitsa,Mogilevskaia,31.202306,52.566047999999995,,"ВѢТКА, мѣстечко того же Намѣстничества въ Бѣлицкомъ уѣздѣ. Тутъ бываетъ одна ярмарка въ году, на которой торгуютъ разными товарами.",Бѣлицкомъ уѣздѣ,мѣстечко,31,Вѣтка,,Могилевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=30,"ВѢТКА, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> того же Намѣстничества въ Бѣлиц</span>комъ уѣздѣ. Тутъ бываетъ одна ярмарка въ году, на которой торгуютъ разными товарами.",Ветка,Могилевского Наместничества,Белицком уезде,могилевск,белицк,могилевск|белицк,47.0,16.0,47.0,Vetka,mogilevsk,mogilevsk
824,POINT(30.1057340951284047 53.08092524990716043),7387,1,uezd town,urban,Rogachev,2,Atlas 015,309,Regular,Rogachev,Mogilevskaia,30.105734,53.080925,,"РОГАЧЕВЪ, городъ Могилевскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарки.",not_in_text,городъ,96,Рогачевъ,,Могилевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=95,"РОГАЧЕВЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Могилевскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарки.</span>",Рогачев,Могилевского Наместничества,not_иn_text,могилевск,нот_ин_теxт,могилевск,16.0,16.0,,Rogachev,mogilevsk,mogilevsk
826,POINT(30.95676895663562789 52.88919252984833008),7441,1,minor town (mestechko),urban,Chechersk,2,Atlas 015,309,Regular,Rogachev,Mogilevskaia,30.956769,52.889193000000006,,"ЧЕЧЕРСКЪ, мѣстечко Могилевскаго Намѣстничества въ уѣздѣ города Рогачева. Здѣсь бываетъ въ году три ярмарки: первая Генваря 8, вторая Сентября 8, третія въ день Вознесенія.",Рогачева,мѣстечко,127,Чечерскъ,,Могилевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=126,"ЧЕЧЕРСКЪ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Могилевскаго Намѣстничества въ уѣздѣ города Рогачева. Здѣсь бываетъ въ году три ярмарки: первая Генваря 8, вторая Сентября 8, третія въ день Вознесенія.</span>",Чечерск,Могилевского Наместничества,Рогачева,могилевск,рогачев,могилевск|рогачев,113.0,16.0,113.0,Chechersk,mogilevsk,mogilevsk
827,POINT(30.57962265160540838 53.26440111856107507),7346,0,minor town (mestechko),urban,Zhuravichi,3,Atlas 015,310,Regular,Staryj Bykhov,Mogilevskaia,30.579623,53.264401,,"ЖУРАВИЧИ , мѣстечко Могилевскаго Намѣстничества въ Старобыховскомъ уѣздѣ. Сюда собираются купцы четыре раза въ годъ на ярмарки.",Старобыховскомъ уѣздѣ,мѣстечко,45,Журавичи,,Могилевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=44,"ЖУРАВИЧИ , </span><span class=""font0"" style=""font-style:italic;"">мѣстечко </span><span class=""font0"">Могилевскаго Намѣстничества въ Старобыховскомъ уѣздѣ. Сюда собираются купцы четыре раза въ годъ на ярмарки.</span>",Журавичи,Могилевского Наместничества,Старобыховском уезде,могилевск,старобыховск,могилевск|старобыховск,122.0,16.0,122.0,Zhuravichi,mogilevsk,mogilevsk
828,POINT(31.04813796401034409 53.45141483140833571),7350,1,minor town (mestechko),urban,Propoisk,3,Atlas 015,310,Regular,Staryj Bykhov,Mogilevskaia,31.048138,53.451415000000004,,"ПРОПОЙСКЪ, мѣстечко Могилевскаго Намѣстничества. Здѣсь бываютъ кромѣ обыкновенныхъ торговъ двѣ ярмарки въ году.",not_in_text,мѣстечко,93,Пропойскъ,,Могилевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=92,"ПРОПОЙСКЪ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко </span><span class=""font0"">Могилевскаго Намѣстничества. Здѣсь бываютъ кромѣ обыкновенныхъ торговъ двѣ ярмарки въ году.</span>",Пропойск,Могилевского Наместничества,not_иn_text,могилевск,нот_ин_теxт,могилевск,16.0,16.0,,Propoisk,mogilevsk,mogilevsk
830,POINT(30.2176635491065575 54.22641605371221374),7488,1,minor town (mestechko),urban,Shklov,6,Atlas 015,313,Regular,Mogilev,Mogilevskaia,30.217664,54.226416,,"ШКЛОВЪ, мѣстечко Могилевскаго Намѣстничества и уѣзду. Здѣсь бываютъ кромѣ еженедѣльнаго торгу три ярмарки, на которыя изъ разныхъ мѣстъ сбираются купцы съ товарами и лучшими матеріями; также въ ономъ и въ окольныя мѣста запасаются.",Могилевскаго уѣздѣ,мѣстечко,129,Шкловъ,,Могилевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=128,"ШКЛОВЪ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Могилевскаго Намѣстничества и уѣзду. Здѣсь бываютъ кромѣ еженедѣльнаго торгу три ярмарки, на которыя изъ разныхъ мѣстъ сбираются купцы съ товарами и лучшими матеріями; также въ ономъ и въ окольныя мѣста запасаются.</span>",Шклов,Могилевского Наместничества,Могилевского уезде,могилевск,могилевск,могилевск|могилевск,,16.0,,Shklov,mogilevsk,mogilevsk
831,POINT(30.72409348718478128 53.98685051502576471),7300,0,minor town (mestechko),urban,Sukhari,7,Atlas 015,314,Regular,Chausy,Mogilevskaia,30.724093,53.986851,,"СУХАРИ, мѣстечко Могилевскаго Намѣстничества въ Чауской округѣ. Тутъ бываетъ одна въ году ярмарка.",not_in_text,мѣстечко,112,Сухари,,Могилевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=111,"СУХАРИ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Могилевскаго Намѣстничества въ Чауской округѣ. Тутъ бываетъ одна въ году ярмарка.</span>",Сухари,Могилевского Наместничества,not_иn_text,могилевск,нот_ин_теxт,могилевск,16.0,16.0,,Sukhari,mogilevsk,mogilevsk
832,POINT(31.31091591721544276 54.2486956941945806),7466,0,minor town (mestechko),urban,Shamovo,8,Atlas 015,315,Regular,Mstislavl',Mogilevskaia,31.310916,54.248695999999995,,"ШАМОВО, мѣстечко Могилевскаго Намѣстничества въ Мстиславскомъ уѣздѣ. Въ немъ бываетъ одна ярмарка въ году.",Мстиславскомъ уѣздѣ,мѣстечко,129,Шамово,,Могилевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=128,"ШАМОВО, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Могилевскаго Намѣстничества въ Мстиславскомъ уѣздѣ. Въ немъ бываетъ одна ярмарка въ году.</span>",Шамово,Могилевского Наместничества,Мстиславском уезде,могилевск,мстиславск,могилевск|мстиславск,94.0,16.0,94.0,Shamovo,mogilevsk,mogilevsk
